,ROC_AUC_score_TE,features,Recall(ND)_TE,F1(ND)_TE,Recall(D)_TE,F1(D)_TE,Accuracy_TE
 :LogisticRegression: __all,0.938538468369086,__all__,0.9190582959641256,0.9330753471431823,0.8271134805788272,0.7869565217391304,0.8981465442577516
 :LogisticRegression: __1,0.9506203060802805,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DATE_NORM']",0.9227578475336323,0.9396655060220332,0.8598629093678599,0.8103355463843532,0.9084531439459553
 :LogisticRegression: __2,0.9508004637993982,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DEST_LAS', 'WHEELS_OFF', 'DATE_NORM', 'CRS_ARR_TIME_ADJ', 'FL_DATE_DAYOFWEEK', 'vis_distance_dep', 'OP_CARRIER_9E']",0.9229820627802691,0.9398401826484019,0.8602437166793603,0.8108399138549892,0.9087129741901957
 :DecisionTreeClassifier: max_depth: 6__all,0.9346225567710272,__all__,0.9218609865470851,0.934697357203751,0.8278750952018279,0.790976896488994,0.9004850164559155
 :DecisionTreeClassifier: max_depth: 6__1,0.9372698079569942,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DATE_NORM']",0.9244394618834081,0.9361943687556767,0.8286367098248286,0.7947406866325785,0.9026502684912524
 :DecisionTreeClassifier: max_depth: 6__2,0.9360539995013645,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DEST_LAS', 'WHEELS_OFF', 'DATE_NORM', 'CRS_ARR_TIME_ADJ', 'FL_DATE_DAYOFWEEK', 'vis_distance_dep', 'OP_CARRIER_9E']",0.9248878923766816,0.9362764569029108,0.8274942878903275,0.7946608155055769,0.9027368785726658
 :RandomForestClassifier: __all,0.9476541714623343,__all__,0.9170403587443946,0.9353916523727844,0.8514851485148515,0.7982863263120313,0.9021306080027716
 :RandomForestClassifier: __1,0.9479613574499913,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DATE_NORM']",0.9218609865470851,0.9384308131241084,0.8545316070068545,0.8061792707023531,0.9065477221548588
 :RandomForestClassifier: __2,0.9496091815545818,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DEST_LAS', 'WHEELS_OFF', 'DATE_NORM', 'CRS_ARR_TIME_ADJ', 'FL_DATE_DAYOFWEEK', 'vis_distance_dep', 'OP_CARRIER_9E']",0.9227578475336323,0.9390758699372505,0.8556740289413557,0.8079827400215751,0.9075004330504071
 :GradientBoostingClassifier: __all,0.9505187432334127,__all__,0.9280269058295965,0.9405749346665151,0.8461538461538461,0.809471766848816,0.9094058548415036
