,Median absolute error_TR,Median absolute error_TE,Median absolute error (adjusted)_TR,Median absolute error (adjusted)_TE,Mean absolute error_TR,Mean absolute error_TE,Mean absolute error (adjusted)_TR,Mean absolute error (adjusted)_TE,R^2 score_TR,R^2 score_TE,R^2 score (adjusted)_TR,R^2 score (adjusted)_TE,features
BASELINE,10.0,10.0,0.0,0.0,11.977285030640306,12.13952884115711,4.969424655161213,4.947514290663433,0.8818841602657115,0.8780811312101786,0.9350525996577526,0.9328225314839255,
 :LinearRegression: __all,5.689988494696037,5.643279572196152,0.0,0.0,7.57600622844026,7.583922067654625,3.1672753993196476,3.123103288375971,0.9443828435298659,0.9432189658825609,0.9686559793802326,0.9675669708219443,__all__
 :LinearRegression: __permutation_small,5.782685467738048,5.738792187616347,0.0,0.0,7.6655481641506995,7.660213014172381,3.2030450650199254,3.1465233932421985,0.9435348442770312,0.9427789404809915,0.9682952887489557,0.9675408891340233,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DATE_NORM']"
 :LinearRegression: __permutation_big,5.727420399354919,5.688293372237226,0.0,0.0,7.637504069969226,7.626162264995594,3.191458368998834,3.133936338607247,0.9437016535457718,0.9429647145016244,0.9683721219128528,0.9675901933106176,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_SFO', 'ORIGIN_LAX', 'ORIGIN_ATL', 'DEST_SFO', 'OP_CARRIER_VX', 'OP_CARRIER_UA', 'DEST_LAX', 'ORIGIN_CLT', 'DEST_ATL', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAS', 'OP_CARRIER_WN', 'DEST_LAS', 'WHEELS_OFF', 'DATE_NORM', 'CRS_ARR_TIME_ADJ', 'FL_DATE_DAYOFWEEK', 'vis_distance_dep', 'OP_CARRIER_9E']"
 :LinearRegression: __select_from_model,5.8279636771952505,5.7793530258869605,0.0,0.0,7.715067857430761,7.701012657953461,3.225986808044571,3.1633997965751206,0.942943941186871,0.9422603970547332,0.9679219298256881,0.9672216150431465,"['TAXI_OUT', 'DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'PREV_AVG_DELAY', 'PREV_AVG_ARR_DELAY', 'OP_CARRIER_9E', 'OP_CARRIER_VX', 'OP_CARRIER_WN', 'ORIGIN_ATL', 'ORIGIN_CLT', 'ORIGIN_LAX', 'ORIGIN_SFO', 'DEST_ATL', 'DEST_CLT']"
 :LinearRegression: positive: True__all,6.1650390625,6.06494140625,0.0,0.0,8.177655689197126,8.150438159048589,3.358714766692471,3.3045064138825135,0.9368294350070208,0.9359784255170652,0.9657743357102511,0.9646509158718286,__all__
 :LinearRegression: positive: True__permutation_small,6.177734375,6.064453125,0.0,0.0,8.184535949578832,8.163344414461719,3.3630826428888505,3.310300915901611,0.9367040141558803,0.9358305787725787,0.9656973338321795,0.9646027893259873,"['DEST_ORD', 'DEST_LAX', 'DEST_DFW', 'DEST_SFO', 'DEST_DEN', 'DEST_LAS', 'DEST_IAH', 'DEST_ATL', 'DEST_PHX', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAX', 'ORIGIN_DEN', 'ORIGIN_DFW', 'ORIGIN_SFO', 'ORIGIN_IAH', 'ORIGIN_ATL', 'ORIGIN_CLT', 'ORIGIN_LAS', 'ORIGIN_PHX', 'DEP_DELAY', 'TAXI_OUT', 'OP_CARRIER_VX', 'OP_CARRIER_NK', 'PREV_AVG_ARR_DELAY', 'OP_CARRIER_AA', 'OP_CARRIER_WN']"
 :LinearRegression: positive: True__permutation_big,6.171875,6.0703125,0.0,0.0,8.180424748543773,8.161684613448381,3.3604316439661335,3.3064112436125064,0.93674876458753,0.9358501240698323,0.9657311698752997,0.9646331655815166,"['DEST_ORD', 'DEST_LAX', 'DEST_DFW', 'DEST_SFO', 'DEST_DEN', 'DEST_LAS', 'DEST_IAH', 'DEST_ATL', 'DEST_PHX', 'DEST_CLT', 'ORIGIN_ORD', 'ORIGIN_LAX', 'ORIGIN_DEN', 'ORIGIN_DFW', 'ORIGIN_SFO', 'ORIGIN_IAH', 'ORIGIN_ATL', 'ORIGIN_CLT', 'ORIGIN_LAS', 'ORIGIN_PHX', 'DEP_DELAY', 'TAXI_OUT', 'OP_CARRIER_VX', 'OP_CARRIER_NK', 'PREV_AVG_ARR_DELAY', 'OP_CARRIER_AA', 'OP_CARRIER_WN', 'OP_CARRIER_B6']"
 :LinearRegression: positive: True__select_from_model,16.217041015625,16.4481201171875,4.3128662109375,4.3128662109375,23.478161047232966,23.696028354736622,14.864751137169508,14.864932635287653,0.010175553519073732,0.008232353525294722,-0.03504824050071775,-0.03723173870673957,"['ORIGIN_ATL', 'ORIGIN_CLT', 'ORIGIN_DEN', 'ORIGIN_DFW', 'ORIGIN_IAH', 'ORIGIN_LAS', 'ORIGIN_LAX', 'ORIGIN_ORD', 'ORIGIN_PHX', 'ORIGIN_SFO', 'DEST_ATL', 'DEST_CLT', 'DEST_DEN', 'DEST_DFW', 'DEST_IAH', 'DEST_LAS', 'DEST_LAX', 'DEST_ORD', 'DEST_PHX', 'DEST_SFO']"
 :HuberRegressor: epsilon: 2__all,6.187982362418651,6.155768682143346,0.0,0.0,8.183300207735485,8.166999039156028,3.356929988148376,3.3095032689249875,0.9362661937898457,0.9356627155001721,0.9646505311880158,0.9636383074011824,__all__
 :HuberRegressor: epsilon: 2__permutation_small,5.817584126274779,5.75081505030004,0.0,0.0,7.7803639031735266,7.74405635906466,3.2565727880744437,3.1979220545308564,0.9412575023774549,0.9410124931512734,0.9668604234512781,0.9661854875334891,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'OP_CARRIER_UA', 'CRS_ELAPSED_TIME', 'DISTANCE', 'DATE_NORM', 'OP_CARRIER_DL', 'DEST_ATL', 'CRS_ARR_TIME_ADJ', 'OP_CARRIER_VX', 'WHEELS_OFF', 'OP_CARRIER_WN', 'OP_CARRIER_9E']"
 :HuberRegressor: epsilon: 2__permutation_big,5.899943175311789,5.8771456935174875,0.0,0.0,7.819495439061011,7.792981462853271,3.2641468111392404,3.2015888155527943,0.9411063720705801,0.9408592849148898,0.9668036370495662,0.9661079954679838,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'OP_CARRIER_UA', 'CRS_ELAPSED_TIME', 'DISTANCE', 'DATE_NORM', 'OP_CARRIER_AA', 'OP_CARRIER_DL', 'ORIGIN_LAX', 'DEST_DFW', 'DEST_DEN', 'ORIGIN_IAH', 'DEST_ATL', 'CRS_ARR_TIME_ADJ', 'OP_CARRIER_VX', 'dew_point_c_dep', 'ORIGIN_SFO', 'WHEELS_OFF', 'FL_DATE_DAYOFWEEK', 'OP_CARRIER_OO', 'OP_CARRIER_WN', 'OP_CARRIER_9E']"
